Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Apartamento,950000000,152,2,2,6,Santa Teresita
Apartamento,850000000,130,3,3,5,San Fernando Viejo
Apartamento,205000000,60,3,2,4,Bosques del Limonar
Apartamento,350000000,112,4,2,6,Santa Rita
Apartamento,395000000,160,4,4,4,Ciudad Los Alamos
Apartamento,410000000,109,4,3,5,La Hacienda
Apartamento,420000000,94,3,2,5,La Hacienda
Apartamento,254000000,65,3,2,4,Champagñat
Apartamento,225000000,53,2,2,4,Ciudad 2000
Apartamento,219000000,62,3,2,5,Urbanización La Flora
Apartamento,750000000,91,3,2,4,Urbanización Militar
Apartamento,530000000,142,4,4,4,San Fernando Nuevo
Apartamento,670000000,110,3,2,5,Cuarto de Legua - Guadalupe
Apartamento,310000000,88,3,2,4,Urbanización Nueva Granada
Apartamento,700000000,144,3,4,6,Tejares - Cristales
Apartamento,315000000,75,3,2,5,Camino Real - Joaquín Borrero Sinisterra
Apartamento,400000000,100,3,2,5,Urbanización San Joaquin
Apartamento,700000000,163,3,3,6,Menga
Apartamento,180000000,80,3,2,4,Ciudad Los Alamos
Apartamento,290000000,70,2,2,5,Cuarto de Legua - Guadalupe
Apartamento,230000000,62,3,2,4,El Refugio
Apartamento,205000000,33,1,1,5,La Flora
Apartamento,225000000,56,2,2,5,Los Cambulos
Apartamento,170000000,65,3,1,5,La Cascada
Apartamento,760000000,151,3,2,4,El Cedro
Apartamento,185000000,62,3,2,5,Senderos de la Flora
Apartamento,167000000,48,2,2,4,Los Cambulos
Apartamento,570000000,110,3,2,6,Normandía
Apartamento,189000000,61,3,2,4,Olímpico
Apartamento,535000000,199,3,3,4,Granada
Apartamento,210000000,60,2,2,5,Urbanización San Joaquin
Apartamento,570000000,165,3,3,6,Santa Teresita
Apartamento,750000000,125,3,4,4,Chipichape
Apartamento,500000000,89,2,3,4,El Cedro
Apartamento,485000000,107,3,3,5,Ciudad Capri
Apartamento,250000000,63,3,2,4,Pasoancho
Apartamento,395000000,88,3,3,4,Lili
Apartamento,215000000,80,3,2,4,Colseguros Andes
Apartamento,230000000,128,3,3,4,Los Cambulos
Apartamento,185000000,50,2,2,4,Vipasa
Apartamento,195000000,59,2,2,4,Ciudad 2000
Apartamento,195600502,65,2,2,4,Lili
Apartamento,152000000,55,3,2,4,Olímpico
Apartamento,192000000,58,3,2,4,Caney
Apartamento,172000000,48,2,1,4,Ciudad Los Alamos
Apartamento,155000000,55,2,2,5,San Fernando Viejo
Apartamento,200500000,60,3,2,4,Ciudad Los Alamos
Apartamento,760000000,90,3,5,4,Caney
Apartamento,300000000,73,3,2,5,El Gran Limonar
Apartamento,368000000,86,3,3,4,El Cedro
Apartamento,255000000,100,4,3,5,Prados del Norte
Apartamento,260000000,69,2,2,4,Barrio Departamental
Apartamento,257000000,65,3,2,4,3 de Julio
Apartamento,390000000,84,3,2,4,Lili
Apartamento,186000000,61,3,2,4,Ciudad Los Alamos
Apartamento,179395592,56,3,2,4,Colseguros Andes
Apartamento,201000000,54,2,2,4,El Cedro
Apartamento,192000000,57,3,2,4,Lili
Apartamento,200000000,58,3,2,4,Caney
Apartamento,218000000,61,3,2,4,Bosques del Limonar
Apartamento,306832660,71,3,2,5,El Ingenio
Apartamento,154500000,50,2,2,5,El Gran Limonar
Apartamento,225000000,56,2,2,4,Urbanización Nueva Granada
Apartamento,218000000,61,3,2,4,San Vicente
Apartamento,356751135,80,3,2,5,La Cascada
Apartamento,310751135,75,3,2,5,La Cascada
Apartamento,265500000,65,3,2,4,San Vicente
Apartamento,164220000,49,2,2,6,Santa Teresita
Apartamento,323098592,67,3,2,4,Chipichape
Apartamento,167000000,48,2,2,4,El Cedro
Apartamento,196000000,65,2,2,4,Miraflores
Apartamento,196000000,65,2,2,4,San Vicente
Apartamento,167000000,48,2,2,4,El Cedro
