Tipo,Precio,Área,Habitaciones,Baños,Estrato
Apartamento,950000000,152,2,2,6
Apartamento,850000000,130,3,3,5
Apartamento,275000000,60,3,2,4
Apartamento,420000000,112,4,2,6
Apartamento,395000000,160,4,4,4
Apartamento,410000000,109,4,3,5
Apartamento,420000000,94,3,2,5
Apartamento,324000000,65,3,2,4
Apartamento,295000000,53,2,2,4
Apartamento,289000000,62,3,2,5
Apartamento,750000000,91,3,2,4
Apartamento,530000000,142,4,4,4
Apartamento,670000000,110,3,2,5
Apartamento,380000000,88,3,2,4
Apartamento,700000000,144,3,4,6
Apartamento,385000000,75,3,2,5
Apartamento,400000000,100,3,2,5
Apartamento,700000000,163,3,3,6
Apartamento,250000000,80,3,2,4
Apartamento,360000000,70,2,2,5
Apartamento,300000000,62,3,2,4
Apartamento,275000000,33,1,1,5
Apartamento,295000000,56,2,2,5
Apartamento,240000000,65,3,1,5
Apartamento,760000000,151,3,2,4
Apartamento,255000000,62,3,2,5
Apartamento,237000000,48,2,2,4
Apartamento,570000000,110,3,2,6
Apartamento,259000000,61,3,2,4
Apartamento,535000000,199,3,3,4
Apartamento,280000000,60,2,2,5
Apartamento,570000000,165,3,3,6
Apartamento,750000000,125,3,4,4
Apartamento,500000000,89,2,3,4
Apartamento,485000000,107,3,3,5
Apartamento,320000000,63,3,2,4
Apartamento,395000000,88,3,3,4
Apartamento,285000000,80,3,2,4
Apartamento,300000000,128,3,3,4
Apartamento,255000000,50,2,2,4
Apartamento,335000000,59,2,2,4
Apartamento,265600502,65,2,2,4
Apartamento,222000000,55,3,2,4
Apartamento,262000000,58,3,2,4
Apartamento,242000000,48,2,1,4
Apartamento,225000000,55,2,2,5
Apartamento,270500000,60,3,2,4
Apartamento,760000000,90,3,5,4
Apartamento,370000000,73,3,2,5
Apartamento,368000000,86,3,3,4
Apartamento,325000000,100,4,3,5
Apartamento,330000000,69,2,2,4
Apartamento,327000000,65,3,2,4
Apartamento,390000000,84,3,2,4
Apartamento,256000000,61,3,2,4
Apartamento,249395592,56,3,2,4
Apartamento,271000000,54,2,2,4
Apartamento,262000000,57,3,2,4
Apartamento,270000000,58,3,2,4
Apartamento,288000000,61,3,2,4
Apartamento,376832660,71,3,2,5
Apartamento,224500000,50,2,2,5
Apartamento,295000000,56,2,2,4
Apartamento,288000000,61,3,2,4
Apartamento,356751135,80,3,2,5
Apartamento,380751135,75,3,2,5
Apartamento,335500000,65,3,2,4
Apartamento,234220000,49,2,2,6
Apartamento,393098592,67,3,2,4
