Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Apartamento,950000000,152,2,2,6,Santa Teresita
Apartamento,850000000,130,3,3,5,Cali
Apartamento,205000000,60,3,2,5,Bochalema
Apartamento,350000000,112,4,2,5,Santa Anita
Apartamento,1040000000,128,3,3,5,Cra 29B # 12-35 1204
Apartamento,395000000,160,4,4,5,Las Vegas
Apartamento,410000000,109,4,3,5,LA HACIENDA
Apartamento,420000000,94,3,2,5,LA HACIENDA
Apartamento,254000000,65,3,2,5,Calle 58 #98
Apartamento,225000000,53,2,2,5,Calle 60A #119C-84
Apartamento,219000000,62,3,2,5,Conjunto Residencial Los Mandarinos
Apartamento,750000000,91,3,2,5,Ciudad Jardín
Apartamento,530000000,142,4,4,5,Bellavista
Apartamento,670000000,110,3,2,5,Calle 3 Oeste #56
Apartamento,310000000,88,3,2,5,Zona Sur
Apartamento,700000000,144,3,4,5,Zona Oeste
Apartamento,315000000,75,3,2,5,Nueva Granada
Apartamento,400000000,100,3,2,5,Zona Sur
Apartamento,700000000,163,3,3,5,Zona Sur
Apartamento,180000000,80,3,2,5,Calle 30 #120-78
Apartamento,290000000,70,2,2,5,Kr 55B Entre Cl 3 Y 1A
Apartamento,230000000,62,3,2,5,El Refugio
Apartamento,205000000,33,1,1,5,Urbanización La Flora
Apartamento,1800000000,228,3,4,6,Santa Rita
Apartamento,622000000,247,4,4,6,Normandía
Apartamento,225000000,56,2,2,5,Cali
Apartamento,170000000,65,3,1,5,El Guabal
Apartamento,760000000,151,3,2,5,Calle 12a Oeste
Apartamento,185000000,62,3,2,5,Cl. 62 #1b-90
Apartamento,167000000,48,2,2,5,Calle 49 #121A-35
Apartamento,570000000,110,3,2,6,Normandía
Apartamento,650000000,230,4,4,5,El Peñon
Apartamento,189000000,61,3,2,5,Sur
Apartamento,535000000,199,3,3,4,Granada
Apartamento,210000000,60,2,2,5,Cl 47A #67a41
Apartamento,570000000,165,3,3,6,Santa Teresita
Apartamento,750000000,125,3,4,5,0 SN
Apartamento,500000000,89,2,3,5,0 SN
Apartamento,485000000,107,3,3,5,Calle 20 #101A-67
Apartamento,250000000,63,3,2,5,Zona Sur
Apartamento,395000000,88,3,3,5,28 SN
Apartamento,215000000,80,3,2,5,Zona Sur
Apartamento,230000000,128,3,3,5,Zona Sur
Apartamento,185000000,50,2,2,5,Zona Norte
Apartamento,195000000,59,2,2,5,Kachipai
Apartamento,195600502,65,2,2,5,Cra. 121 A #47A-46
Apartamento,152000000,55,3,2,5,Cra 99 #2-140
Apartamento,192000000,58,3,2,5,Cra. 83b #42-60
Apartamento,172000000,48,2,1,5,Cra. 121 A #47-108
Apartamento,155000000,55,2,2,5,Cali
Apartamento,200500000,60,3,2,5,Valle Del Lili
Apartamento,760000000,90,3,5,5,Pance
Apartamento,300000000,73,3,2,5,El Gran Limonar
Apartamento,368000000,86,3,3,5,Calle 11 #87-31
Apartamento,255000000,100,4,3,5,Prados Del Norte
