Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Casa,329321822,79,3,2,4,Ciudad 2000
Casa,474000000,280,6,4,5,Nueva Tequendama
Casa,319000000,120,4,2,4,El Refugio
Casa,950000000,290,5,5,5,San Fernando Viejo
Casa,850000000,320,6,7,5,La Hacienda
Casa,550000000,270,5,5,4,Bosques del Limonar
Casa,545000000,400,5,4,5,Nueva Tequendama
Casa,1100000000,225,4,2,5,San Fernando Viejo
Casa,409000000,144,3,3,4,Los Cambulos
Casa,1300000000,253,4,4,6,Normandía
Casa,475000000,270,9,7,5,Versalles
Casa,1350000000,360,3,4,6,Normandía
Casa,530000000,510,9,4,5,El Lido
Casa,720000000,160,3,5,6,Altos de Santa Isabel - La Morelia
Casa,415000000,91,3,3,5,Unicentro Cali
Casa,478000000,150,5,2,5,San Fernando Viejo
Casa,900000000,600,7,7,5,San Fernando Viejo
Casa,800000000,280,4,3,5,Prados del Limonar
Casa,2250000000,850,4,9,5,La Hacienda
Casa,1050000000,350,4,4,6,Normandía
Casa,570000000,161,3,7,4,San Vicente
Casa,2200000000,460,3,3,6,Ciudad Capri
Casa,800000000,734,7,4,4,La Campiña
Casa,365000000,82,3,3,4,Champagñat
Casa,495000000,192,4,2,5,El Peñón
Casa,1000000000,320,5,4,5,Centenario
Casa,610000000,217,4,4,5,Ciudadela Pasoancho
Casa,1150000000,680,4,4,5,La Flora
Casa,500000000,180,4,3,5,El Peñón
Casa,1500000000,281,6,4,5,Camino Real - Joaquín Borrero Sinisterra
Casa,1800000000,414,5,6,5,Urbanización San Joaquin
Casa,800000000,320,6,5,5,La Flora
Casa,850000000,290,3,5,5,Nueva Tequendama
Casa,850000000,360,5,5,5,El Gran Limonar
Casa,1500000000,850,5,7,5,El Ingenio
Casa,1100000000,400,4,5,6,Arboledas
Casa,700000000,260,4,5,5,Unidad Residencial Santiago de Cali
Casa,720000000,157,5,5,6,Ciudad Capri
Casa,900000000,350,6,5,6,El Ingenio
Casa,415000000,182,4,4,5,Pampa Linda
Casa,1000000000,365,4,4,6,El Ingenio
Casa,1250000000,243,3,6,6,San Fernando Viejo
Casa,2000000000,657,4,5,6,San Fernando Viejo
Casa,2200000000,388,4,3,6,San Fernando Viejo
Casa,1800000000,421,3,6,6,San Fernando Viejo
Casa,1500000000,200,3,4,6,San Fernando Viejo
Casa,340000000,210,2,3,5,Santa Anita - La Selva
Casa,470000000,130,4,2,5,Unicentro Cali
Casa,1450000000,332,3,5,6,Urbanización Río Lili
Casa,590000000,210,3,2,5,San Fernando Viejo
Casa,999000000,250,4,5,5,La Hacienda
Casa,428600000,90,3,3,4,Ciudad 2000
Casa,833000000,400,4,5,5,El Ingenio
Casa,280000000,80,3,1,5,Los Portales - Nuevo Rey
Casa,600000000,360,6,4,4,Ciudad 2000
Casa,320000000,140,4,2,5,Prados del Norte
Casa,549900000,120,3,2,5,La Flora
Casa,405000000,91,2,2,5,Ciudad Capri
Casa,360000000,97,3,2,5,La Cascada
Casa,580000000,140,3,2,5,San Fernando Viejo
Casa,2000000000,446,3,4,6,Normandía
Casa,450000000,159,2,4,5,La Cascada
Casa,450000000,180,4,5,5,Las Quintas de Don Simón
Casa,860000000,348,5,7,4,Santa Isabel
Casa,320000000,84,3,2,4,Bosques del Limonar
Casa,340000000,116,4,2,5,La Flora
Casa,1800000000,430,5,6,6,Urbanización Ciudad Jardín
Casa,319000000,145,6,3,4,Caney
Casa,550000000,380,6,4,5,Colseguros Andes
Casa,410000000,85,4,3,4,Villa del Sol
