Tipo,Precio,Área,Habitaciones,Baños,Estrato
Casa,329321822,79,3,2,4
Casa,474000000,280,6,4,5
Casa,319000000,120,4,2,4
Casa,950000000,290,5,5,5
Casa,850000000,320,6,7,5
Casa,550000000,270,5,5,4
Casa,545000000,400,5,4,5
Casa,1100000000,225,4,2,5
Casa,409000000,144,3,3,4
Casa,1300000000,253,4,4,6
Casa,475000000,270,9,7,5
Casa,1350000000,360,3,4,6
Casa,530000000,510,9,4,5
Casa,720000000,160,3,5,6
Casa,415000000,91,3,3,5
Casa,478000000,150,5,2,5
Casa,800000000,280,4,3,5
Casa,1050000000,350,4,4,6
Casa,570000000,161,3,7,4
Casa,2200000000,460,3,3,6
Casa,365000000,82,3,3,4
Casa,495000000,192,4,2,5
Casa,1000000000,320,5,4,5
Casa,610000000,217,4,4,5
Casa,500000000,180,4,3,5
Casa,1500000000,281,6,4,5
Casa,1800000000,414,5,6,5
Casa,800000000,320,6,5,5
Casa,850000000,290,3,5,5
Casa,850000000,360,5,5,5
Casa,1100000000,400,4,5,6
Casa,700000000,260,4,5,5
Casa,720000000,157,5,5,6
Casa,900000000,350,6,5,6
Casa,415000000,182,4,4,5
Casa,1000000000,365,4,4,6
Casa,1250000000,243,3,6,6
Casa,2200000000,388,4,3,6
Casa,1800000000,421,3,6,6
Casa,1500000000,200,3,4,6
Casa,340000000,210,2,3,5
Casa,470000000,130,4,2,5
Casa,1450000000,332,3,5,6
Casa,590000000,210,3,2,5
Casa,999000000,250,4,5,5
Casa,428600000,90,3,3,4
Casa,833000000,400,4,5,5
Casa,280000000,80,3,1,5
Casa,600000000,360,6,4,4
Casa,320000000,140,4,2,5
Casa,549900000,120,3,2,5
Casa,405000000,91,2,2,5
Casa,360000000,97,3,2,5
Casa,580000000,140,3,2,5
Casa,2000000000,446,3,4,6
Casa,450000000,159,2,4,5
Casa,450000000,180,4,5,5
Casa,860000000,348,5,7,4
Casa,320000000,84,3,2,4
Casa,340000000,116,4,2,5
Casa,1800000000,430,5,6,6
Casa,319000000,145,6,3,4
Casa,550000000,380,6,4,5
Casa,410000000,85,4,3,4
Casa,750000000,350,4,5,5
Casa,980000000,180,8,4,6
Casa,330000000,132,4,3,5
Casa,700000000,200,5,4,4
Casa,1400000000,430,4,5,5
Casa,900000000,450,8,8,5
Casa,1150000000,250,4,5,5
Casa,560000000,250,4,4,5
Casa,750000000,276,5,4,5
Casa,350000000,152,8,2,5
Casa,850000000,308,6,5,5
Casa,1500000000,412,5,5,5
Casa,1000000000,150,4,2,5
Casa,1900000000,544,5,6,5
Casa,1150000000,430,4,6,5
Casa,1000000000,215,6,2,5
Casa,1350000000,345,5,5,6
Casa,480000000,420,9,6,4
Casa,2000000000,500,5,5,6
Casa,630000000,240,5,5,5
Casa,550000000,90,4,4,4
Casa,875000000,250,4,4,5
Casa,550000000,247,3,3,5
Casa,480000000,158,4,3,5
Casa,360000000,149,6,2,5
Casa,500000000,188,3,3,5
Casa,400000000,160,3,2,5
Casa,1250000000,245,4,3,5
Casa,750000000,220,3,3,4
Casa,1450000000,341,7,6,5
Casa,490000000,500,9,4,5
Casa,500000000,255,6,4,5
Casa,965000000,367,5,5,6
Casa,448000000,142,3,3,5
Casa,450000000,91,3,3,5
Casa,2300000000,457,5,5,6
Casa,415000000,122,4,2,4
Casa,1700000000,300,4,5,5
Casa,1900000000,260,3,3,5
Casa,680000000,155,3,3,5
Casa,570000000,135,4,4,5
Casa,682000000,195,8,3,5
Casa,1500000000,150,6,5,5
Casa,2200000000,480,5,5,5
Casa,1400000000,250,6,4,4
Casa,650000000,480,4,3,5
Casa,800000000,576,8,7,5
Casa,669999900,367,6,3,5
Casa,550000000,315,4,4,5
Casa,390000000,220,3,2,5
Casa,345000000,76,3,3,5
Casa,430000000,180,5,1,5
Casa,350000000,123,5,1,5
Casa,420000000,170,6,2,5
Casa,830000000,370,4,4,5
Casa,1650000000,280,4,5,5
Casa,730000000,256,4,4,5
Casa,750000000,340,4,5,5
Casa,540000000,256,4,2,5
Casa,480000000,100,3,3,5
Casa,390000000,158,4,1,5
Casa,889000000,300,3,3,5
Casa,350000000,125,4,2,5
Casa,470000000,400,7,5,5
Casa,780000000,150,4,3,5
Casa,349000000,153,4,1,5
Casa,489900000,230,9,6,5
Casa,320000000,112,4,2,5
Casa,329900000,100,3,3,5
Casa,2200000000,500,3,2,6
Casa,415000000,225,9,3,5
Casa,370000000,149,5,2,5
