Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Apartamento,950000000,152,2,2,5,Santa Teresita
Apartamento,850000000,130,3,3,6,San Fernando
Apartamento,205000000,60,3,2,4,Bochalema
Apartamento,350000000,112,4,2,4,Santa Anita
Apartamento,1040000000,128,3,3,6,Cra B Ciudad Jard n
Apartamento,395000000,160,4,4,4,Las Vegas Las Vegas
Apartamento,410000000,109,4,3,4,LA HACIENDA La Hacienda
Apartamento,420000000,94,3,2,4,LA HACIENDA Ca averales Colombia La Hacienda
Apartamento,254000000,65,3,2,4,Valle Del Lili
Apartamento,225000000,53,2,2,4,Bochalema
Apartamento,219000000,62,3,2,2,Conjunto Residencial Los Mandarinos Valle Del Lili
Apartamento,750000000,91,3,2,4,Ciudad Jard n Ciudad Jard n
Apartamento,530000000,142,4,4,4,Bellavista
Apartamento,670000000,110,3,2,4,Calle Oeste Guadalupe
Apartamento,310000000,88,3,2,4,Zona Sur Bochalema
Apartamento,700000000,144,3,4,6,Zona Oeste Los Cristales
Apartamento,315000000,75,3,2,5,Nueva Granada Urbanizaci n Nueva Granada
Apartamento,400000000,100,3,2,5,Zona Sur Cuarto De Legua
Apartamento,700000000,163,3,3,6,Zona Sur Ciudad Jardin
Apartamento,180000000,80,3,2,3,F tima
Apartamento,290000000,70,2,2,4,Cuarto De Legua Guadalupe
Apartamento,230000000,62,3,2,4,El Refugio
Apartamento,205000000,33,1,1,5,Urbanizaci n La Flora
Apartamento,1800000000,228,3,4,6,Santa Rita
Apartamento,622000000,247,4,4,4,Normand a
Apartamento,225000000,56,2,2,4,San Fernando
Apartamento,170000000,65,3,1,3,El Guabal
Apartamento,760000000,151,3,2,4,Calle a Oeste Bellavista
Apartamento,185000000,62,3,2,3,Cl b Comuna Colombia Los Parques Barranquilla
Apartamento,167000000,48,2,2,4,Bochalema
Apartamento,570000000,110,3,2,6,Normand a
Apartamento,650000000,230,4,4,5,El Pe on
Apartamento,189000000,61,3,2,4,Sur Comuna Valle Del Lili
Apartamento,535000000,199,3,3,4,Granada
Apartamento,210000000,60,2,2,3,Cl A a Bochalema
Apartamento,570000000,165,3,3,4,Santa Teresita
Apartamento,750000000,125,3,4,4,SN Pance
Apartamento,500000000,89,2,3,4,SN Bochalema
Apartamento,485000000,107,3,3,4,Ciudad Jard n
Apartamento,250000000,63,3,2,4,Zona Sur Bochalema
Apartamento,395000000,88,3,3,4,SN Valle Del Lili
Apartamento,215000000,80,3,2,4,Zona Sur Buenos Aires
Apartamento,230000000,128,3,3,4,Zona Sur El Limonar
Apartamento,185000000,50,2,2,4,Zona Norte Vipasa
Apartamento,195000000,59,2,2,4,Kachipai
Apartamento,195600502,65,2,2,4,Cra A A Bochalema
Apartamento,152000000,55,3,2,4,Cra Mel ndez
Apartamento,192000000,58,3,2,4,Cra b Caney
Apartamento,172000000,48,2,1,4,Cra A Valle Del Lili
Apartamento,155000000,55,2,2,3,San Fernando
Apartamento,200500000,60,3,2,4,Valle Del Lili
Apartamento,760000000,90,3,5,4,Pance
Apartamento,300000000,73,3,2,4,El Gran Limonar
Apartamento,368000000,86,3,3,4,Unicentro
Apartamento,255000000,100,4,3,3,Prados Del Norte
Apartamento,260000000,69,2,2,4,Carrera a Bochalema
Apartamento,257000000,65,3,2,4,Carrera Bis Valle Del Lili
Apartamento,390000000,84,3,2,4,Carrera b Ciudad Real
Apartamento,186000000,61,3,2,4,Porteria Ciudad Los Alamos
Apartamento,179395592,56,3,2,4,Carrera a Valle Del Lili
Apartamento,201000000,54,2,2,4,Carrera A Bochalema
Apartamento,192000000,57,3,2,4,Cra a Valle Del Lili
Apartamento,200000000,58,3,2,4,Cl Caldas
Apartamento,218000000,61,3,2,4,Carrera A Valle Del Lili
Apartamento,306832660,71,3,2,5,Cra La Alborada
Apartamento,154500000,50,2,2,3,Carrera C a Bochalema
Apartamento,225000000,56,2,2,3,Cra La Alborada
Apartamento,218000000,61,3,2,4,Carrera A Bochalema
Apartamento,201751135,60,3,2,4,Calle b La Cascada
Apartamento,201751135,60,3,2,4,Calle b La Cascada
Apartamento,265500000,65,3,2,4,Calle Paseo De Los Almendros
Apartamento,164220000,49,2,2,3,Cl Acopi
Apartamento,323098592,67,3,2,4,Carrera Valle Del Lili
Apartamento,167000000,48,2,2,4,Valle Del Lili
Apartamento,196000000,65,2,2,4,Carrera A A Valle Del Lili
Apartamento,196000000,65,2,2,4,Carrera A A Bochalema
Apartamento,167000000,48,2,2,4,Cl A Valle Del Lili
Apartamento,218000000,61,3,2,4,Carrera A Bochalema
Apartamento,238000000,63,2,3,4,Bochalema
Apartamento,390000000,84,3,2,4,Valle Del Lili
Apartamento,164220000,49,2,2,3,Las Granjas
Apartamento,238000000,63,3,2,4,Bochalema
Apartamento,231751540,57,2,2,5,Cl Valle Del Lili
Apartamento,231000000,61,3,2,4,Ciudad Melendez
Apartamento,218000000,61,3,2,4,Kachipai
Apartamento,194000000,58,3,2,4,San Fernando
Apartamento,148000000,55,3,2,4,Mel ndez
Apartamento,257000000,65,3,2,4,Ciudad Melendez
Apartamento,219000000,56,2,2,4,Ciudad
Apartamento,167000000,48,2,2,4,Ciudad Pacifica
Apartamento,630000000,121,3,3,5,La Flora
Apartamento,570000000,97,2,2,5,La Flora
Apartamento,430000000,107,3,3,4,Valle Del Lili
