Tipo,Precio,Área,Habitaciones,Baños,Estrato,Ubicación
Casa,250000000,52,3,2,2,Ciudad Cordoba Ciudad C rdoba
Casa,474000000,280,6,4,5,Salomia
Casa,249000000,120,4,2,3,Cl Oe Belisario Caicedo
Casa,950000000,290,5,5,5,San Fernando San Fernando
Casa,850000000,320,6,7,5,Cra La Hacienda
Casa,550000000,270,5,5,4,Ciudad Ciudad
Casa,545000000,400,5,4,5,Tequendama Nueva Tequendama
Casa,2500000000,570,3,5,6,Santa Teresita
Casa,1100000000,225,4,2,5,Sur San Fernando
Casa,339000000,144,3,3,3,Torres De Comfandi
Casa,1300000000,253,4,4,6,Pance
Casa,3200000000,1,4,5,6,Pance
Casa,2500000000,400,6,7,5,SN Ciudad Jard n
Casa,750000000,1,6,5,5,Pance
Casa,275000000,270,9,7,1,Alirio Mora
Casa,1350000000,360,3,4,6,Pance
Casa,3000000000,630,4,5,6,SN Pance
Casa,530000000,510,9,4,3,Jun n
Casa,720000000,160,3,5,5,Zona Sur Ciudad Jardin
Casa,345000000,91,3,3,4,Ciudad Country
Casa,178000000,150,5,2,3,San Fernando
Casa,900000000,600,7,7,4,San Fernando
Casa,800000000,280,4,3,5,Prados Del Limonar
Casa,2250000000,850,4,9,5,La Trinidad
Casa,1050000000,350,4,4,6,Pance
Casa,570000000,161,3,7,4,San Vicente
Casa,2200000000,460,3,3,6,Ciudad Jard n
Casa,800000000,734,7,4,4,La Campi a
Casa,365000000,82,3,3,4,Torres De Comfandi
Casa,495000000,192,4,2,5,Mayapan
Casa,1000000000,320,5,4,5,CV VJ La Voragine Colombia Pance
Casa,610000000,217,4,4,5,Valle Del Lili
Casa,1150000000,680,4,4,5,La Reforma
Casa,500000000,180,4,3,5,Colinas Del Bosque
Casa,1500000000,281,6,4,3,La Buitrera
Casa,1800000000,414,5,6,3,La Buitrera
Casa,800000000,320,6,5,5,La Flora
Casa,850000000,290,3,5,5,Nueva Teqeundama
Casa,850000000,360,5,5,5,Sur Gran Limonar
Casa,1500000000,850,5,7,5,Miraflores
Casa,1100000000,400,4,5,6,Parcelaciones Pance
Casa,700000000,260,4,5,5,Unidad Residencial Sortilegio
Casa,720000000,157,5,5,6,Sur Ciudad Jardin
Casa,900000000,350,6,5,6,El Ingenio
Casa,915000000,3,8,6,5,La Elvira Corregimiento La Elvira
Casa,415000000,182,4,4,5,Vipasa
Casa,1000000000,365,4,4,6,El Ingenio
Casa,2350000000,888,8,8,5,Ciudad Jard n
Casa,1250000000,243,3,6,6,San Fernando
Casa,2000000000,657,4,5,6,San Fernando
Casa,3550000000,566,4,5,6,Aguacatal
Casa,3500000000,1,7,9,5,San Fernando
Casa,6000000000,485,3,4,6,San Fernando
Casa,2200000000,388,4,3,5,San Fernando
Casa,1800000000,421,3,6,5,San Fernando
Casa,5600000000,720,4,6,5,San Fernando
Casa,1500000000,200,3,4,5,San Fernando
Casa,270000000,210,2,3,3,Ciudad C rdoba
Casa,470000000,130,4,2,5,Cra Panamericano Colombia Panamericano
Casa,1450000000,332,3,5,5,CALLE BIS Ciudad Jard n
Casa,590000000,210,3,2,5,San Fernando
Casa,999000000,250,4,5,5,Cl Ca asgordas Colombia Pance
Casa,428600000,90,3,3,5,Cra
Casa,833000000,400,4,5,5,El Ingenio III El Ingenio Colombia El Ingenio
Casa,210000000,80,3,1,5,Cl c Comuna Colombia Villa Del Prado
Casa,600000000,360,6,4,4,Ciudad
Casa,250000000,140,4,2,5,San Carlos
Casa,149900000,120,3,2,5,Cra a El Vallado Colombia El Vallado
Casa,335000000,91,2,2,4,Ciudad Country
Casa,190000000,97,3,2,5,Cra Nte h Norte COMUNA Colombia Los Guaduales
Casa,580000000,140,3,2,5,San Fernando
Casa,2000000000,446,3,4,6,Pance
Casa,450000000,159,2,4,2,Nueva Floresta
Casa,450000000,180,4,5,5,El Poblado
Casa,860000000,348,5,7,4,Valle Del Lili
Casa,250000000,84,3,2,3,Nueva Base
Casa,270000000,116,4,2,5,Ciudad C rdoba
Casa,1800000000,1,5,6,6,Ciudad Jard n
Casa,249000000,145,6,3,5,Calle Norte Norte Floralia
Casa,550000000,380,6,4,5,Colseguros
Casa,280000000,85,4,3,4,Ca averalejo
Casa,750000000,350,4,5,5,Prados Del Norte
Casa,380000000,180,8,4,3,Nueva Floresta
Casa,2200000000,500,6,8,5,Lago ma ma El Darien
Casa,260000000,132,4,3,3,El Guabal
Casa,700000000,200,5,4,4,Santa Isabel
Casa,1400000000,430,4,5,5,San Fernando
Casa,900000000,450,8,8,5,San Joaquin
Casa,1150000000,250,4,5,5,El Ingenio
Casa,560000000,250,4,4,5,Cra Colombia El Lido
Casa,750000000,276,5,4,5,Santa Anita
