_id,name,brand,price,categories,description,specifications,availability,sizes,colors,identifiers,images,tags,reviews
672c12fa456da97276bdb6f4,Conjunto Residencial San Lorenzo,RUIZ AREVALO CONSTRUCTORA SA - CORASA,"$185,797,300.00","[""Proyectos"",""Venta""]","SAN LORENZO. proyecto de apartamentos de interés social ( aplican 4 subsidios de vivienda) UBICADO EN CALI - VALLE . Conjunto Residencial Cerrado , seguridad 24/7 , 3 torres de 12 pisos de altura, Portería, Piscina niños y adultos, salone social, Zonas verdes y antejardines, Parqueaderos comunales, Ascensores por torre, Locales comerciales externos. A 5 minutos de la autopista simón bolívar .","{""Área construida"":""44.62 m²"",""Área privada"":""44.62 m²"",""Tipo de inmueble"":""Apartamento"",""Hab/Amb"":""3 Hab"",""Baños"":""1 Baño"",""Precio"":""$ 185.797.300""}",AVAILABLE,"[""3 Habs.""]",[],"{""sku"":""10049424""}","[""https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/742x400/site/fincaraiz_service/media/listing/db56d5ff-f44b-47df-9697-98b5b016b618/photos/db56d5ff-f44b-47df-9697-98b5b016b618_1_True_413e0071-1614-4606-94c9-d0437b207dfb.jpg"",""https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/1x210/site/fincaraiz_service/media/listing/db56d5ff-f44b-47df-9697-98b5b016b618/photos/db56d5ff-f44b-47df-9697-98b5b016b618_2_False_135b9b4e-fc05-4ccc-8f75-23b544be568f.jpg"",""https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/1x210/site/fincaraiz_service/media/listing/db56d5ff-f44b-47df-9697-98b5b016b618/photos/db56d5ff-f44b-47df-9697-98b5b016b618_4_False_3ed25d79-e287-4e4d-af85-fa3cf5ed8e8f.jpg""]",[],[]
672c12fa456da97276bdb6f5,TUCANES DEL CASTILLO,CONSTRUCTORA EL CASTILLO S.A.S,"$525,100,000.00","CASAS CAMPESTRES DE UN PISO, ENCUÉNTRALAS TOMANDO LA VÍA PANAMERICANA, HACIENDO EL RETORNO EN EL SUR DE CALI. TUCANES DEL CASTILLO (UN PISO) DESDE: $519.900.000 Y DESDE 110.54 M2 NO APLICA SUBSIDIOS. SI TUS INGRESOS FAMILIARES SON MAYORES A $15.000.000, PUEDES ACCEDER A NUESTRO PROYECTO TUCANES DEL CASTILLO. ¡VIVE EN UNA CIUDADELA EXCLUSIVA, LEJOS DEL RUIDO DE LA CIUDAD! Estas hermosas casas de un solo piso te brindan una experiencia de vida sin igual en uno de los diseños más apetecidos de Ciudad Campestre El Castillo. El corazón de Tucanes del Castillo es su cocina abierta al área social, un espacio que invita a la celebración, donde se cocinan los mejores momentos de la vida. Con hasta 3 habitaciones y 3 baños, son perfectas para familias numerosas y para aquellos que cuidan de sus seres queridos de la tercera edad. Aquí, ellos pueden moverse con total comodidad y seguridad, sin preocupaciones de escaleras ni obstáculos. La terraza cubierta es un lugar donde te puedes desconectar del ajetreo de la ciudad en el único proyecto de un solo piso en la zona: Tucanes del Castillo. Recuerda que todos nuestros proyectos cuentan con parqueadero interno para visitantes, lo que te brinda tranquilidad. Una vida plena te espera en estas casas diseñadas para abrazar la armonía y la simplicidad. ¡Ven y descubre este proyecto!","{""Área construida"":""110.54 m²"",""Área privada"":""102.05 m²"",""Tipo de inmueble"":""Casa"",""Hab/Amb"":""3 Hab"",""Baños"":""3 Baños"",""Precio"":""$ 525.100.000""}",,[3],[],"{""sku"":""7107198""}","[""https://s3.amazonaws.com/imagenes.fincaraiz.com.co/FC_COL/2022/03/08/7107198/proyecto-nuevo-venta-valle-del-cauca-cali-516850785_m.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/3/8/3581634_606_6.jpg"",""https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/1x210/site/fincaraiz_service/media/listing/1905d5a6-5056-451b-85f1-c791a374407c/photos/1905d5a6-5056-451b-85f1-c791a374407c_1_True_60e2a649-ec4e-48e7-b006-2cbdbeac981b.jpg"",""https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/1x210/site/fincaraiz_service/media/listing/1905d5a6-5056-451b-85f1-c791a374407c/photos/1905d5a6-5056-451b-85f1-c791a374407c_6_False_c0577292-584a-40da-ba5a-2d2974b3533b.png""]",[],[],
672c12fa456da97276bdb6f6,POMELOS,CONSTRUCTORA BOLIVAR CALI S.A,"$210,600,000.00","Pomelos te da la bienvenida a un emocionante proyecto de apartamentos en conjunto cerrado, ubicado dentro del prestigioso macroproyecto Vivero Parque Residencial en el sur de Cali. Sumérgete en la experiencia de vivir en un entorno donde la naturaleza y la ciudad se fusionan armoniosamente. Pomelos se enorgullece de su enfoque en la sostenibilidad, implementando estrategias para obtener la certificación EDGE, lo que significa ahorro de energía y agua para ti y el planeta. Los apartamentos están diseñados para adaptarse a tus necesidades, ofreciendo hasta 3 habitaciones en un espacio multifuncional. La habitación principal incluye un espacio para vestier y baño privado, mientras que las alcobas auxiliares están listas para que adaptes tus armarios. El balcón se conecta de forma natural con la sala-comedor, creando un ambiente luminoso y agradable. Además, disfruta de una zona de oficios independiente, cocinas espaciosas que se integran perfectamente con el área de comedor y un baño social. En Pomelos, nos comprometemos a hacer realidad tu sueño de tener casa propia. Te brindamos la oportunidad de acceder a diversos subsidios de vivienda, incluyendo opciones a través de cajas de compensación, el programa Subsidio Mi Casa Ya, el subsidio concurrente y el subsidio de tasa de interés FRECH. ¡Pomelos es tu oportunidad de vivir en un espacio sostenible y cómodo dentro de un entorno vibrante y seguro! Contáctanos hoy mismo para obtener más información.","{""Área construida"":""62.25 m²"",""Área privada"":""53.95 m²"",""Tipo de inmueble"":""Apartamento"",""Hab/Amb"":""2 Hab"",""Baños"":""2 Baños"",""Precio"":""$ 210.600.000""}",,"[""2 Habs."",""2 Baños"",""62.25 m²""]",[],"{""sku"":""7252468""}","[""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/5/23/3672213_805_12.jpg"",""https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/1x210/site/fincaraiz_service/media/listing/47884bfe-5a49-40f4-9b30-430d64d4808a/photos/47884bfe-5a49-40f4-9b30-430d64d4808a_4_False_766433ab-619f-4621-8411-3da71a98c766.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/5/26/3672213_12_14.jpg""]",[],[],
672c12fa456da97276bdb6f7,TORRES DEL PARQUE CONJUNTO CERRADO,RUIZ AREVALO CONSTRUCTORA SA - CORASA,"$163,104,500.00","[""Proyectos"",""Venta""]","TORRES DEL PARQUE Exclusivo proyecto en conjunto cerrado EN CALI - VALLE , torres de 11 pisos altura , apartamento entrega obra gris ,diseño flexible para tres habitaciones, cuenta con parqueaderos comunales, de carros motos, bicicletas, piscinas para niños y adultos, salón social 2 ascensores por torre .. En Inicio de obra.","{""Área construida"":""44.62 m²"",""Área privada"":""44.62 m²"",""Tipo de inmueble"":""Apartamento"",""Hab/Amb"":""3 Hab"",""Baños"":""1 Baño"",""Precio"":""$ 163.104.500""}",NO_INFORMATION,"[""3 Habs.""]",[],"{""sku"":""7207846""}","[""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/12/12/3643723_286_4.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/12/12/3643723_129_3.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/12/12/3643723_442_5.jpg""]",[],[]
672c12fa456da97276bdb6f8,Tamarindo,JARAMILLO MORA S.A.,"$241,116,000.00","Tamarindo es la apuesta perfecta en ubicación y conexión natural. Un proyecto con apartamentos de interés social en torres de 10 pisos con amplias zonas verdes dentro del conjunto y amenities ideales para tu día a día. Ubicado en el inicio de Hacienda Kachipay, una ciudadela con una novedosa apuesta urbanística al sur de Cali, donde cada integrante de la familia encuentra un espacio para ejercitarse y disfrutar al aire libre. ¡Ven a conocer tu nuevo hogar!","{""Área construida"":""62.35 m²"",""Tipo de inmueble"":""Apartamento"",""Hab/Amb"":""2 Hab"",""Baños"":""1 Baño"",""Precio"":""$ 241.116.000""}",,"[""2 Habs.""]",[],"{""sku"":""15016861""}","[""https://cdn2.infocasas.com.uy/repo/img/th.outside742x400.66f2f557876fa_infocdn__upqhc3imuhbhmzn7eblyeulfigfp9mntltil3a3djpg.jpg"",""https://cdn2.infocasas.com.uy/repo/img/th.outside1x210.66f2f557978e2_infocdn__nytl8kq3mccfyf27j2wdcogdkxd5vrfhfzbeguyqjpg.jpg"",""https://cdn2.infocasas.com.uy/repo/img/th.outside1x210.66f2f55795950_infocdn__yzt99j2auaeeylixdk550qilvcawfz7mvfosfvfjjpg.jpg""]",[],[],
672c12fa456da97276bdb6f9,ZENTO 75 LOFT,SOLANILLAS S. A.,"$522,300,000.00","[""Proyectos"",""Venta""]","apartamentos Cali sur venta - Ubicado en el corazón de Pance, su privilegiada localización, le permite estar a pocos minutos de las mejores universidades, colegios, centros médicos, centros comerciales, zonas gastronómicas y gimnasios de la ciudad. El proyecto se conforma por 1 torre de 13 pisos, con un gran patio central, el cual, además de servir como zona de estancia y encuentro en el primer piso, brinda una de las mejores vistas hacia los Farallones.","{""Área construida"":""65 m²"",""Área privada"":""65 m²"",""Tipo de inmueble"":""Apartamento"",""Hab/Amb"":""1 Hab"",""Baños"":""2 Baños"",""Precio"":""$ 522.300.000""}",AVAILABLE,"[""64 m²"",""65 m²"",""75 m²""]",[],"{""sku"":""5790637""}","[""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/9/6/2792188_732_14.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/9/6/2792188_154_16.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/9/6/2792188_134_15.jpg""]",[],[]
672c12fa456da97276bdb6fa,826 Boreal,JARAMILLO MORA S.A.,"$233,079,000.00","[""Proyectos"",""Venta""]","826 BOREAL, es nuestro nuevo conjunto cerrado de apartamentos ubicado estratégicamente sobre la carrera 8 ava con calle 26, a 10 minutos del Centro Comercial Chipichape. La facilidad de acceder a diferentes medios de transporte desde el lugar y su cercanía a diferentes centros de recreación y al gran comercio de la ciudad, hacen de este proyecto un lugar ideal para vivir. Austral, contará con apartamentos desde 56 m2 que puedes escoger según tu presupuesto. En sus zonas comunes tendrás diferentes comodidades para disfrutar en familia, Te invitamos a conocer tu nuevo hogar.","{""Área construida"":""50 m²"",""Área privada"":""44 m²"",""Tipo de inmueble"":""Apartamento"",""Hab/Amb"":""1 Hab"",""Baños"":""1 Baño"",""Precio"":""$ 233.079.000""}",NO_INFORMATION,"[""50 m²""]",[],"{""sku"":""15016957""}","[""https://cdn2.infocasas.com.uy/repo/img/th.outside742x400.67226e71508d7_infocdn__nolkdzxceizgwhv3f3ffevyvinudhegmja4drtuzjpg.jpg"",""https://cdn2.infocasas.com.uy/repo/img/th.outside1x210.67226e719cdcd_infocdn__ntkms85mtwbc7rjiu5cyq4drctukvlk7rncbfraejpg.jpg"",""https://cdn2.infocasas.com.uy/repo/img/th.outside1x210.67226e71a101b_infocdn__8qpf8hxlbovdgjscnfw1r0hx9aqkmbbpeibnv7fmjpg.jpg""]",[],[]
672c12fa456da97276bdb6fb,PRADOS DEL NARANJO,SOLANILLAS S. A.,"$351,200,000.00","¡Bienvenido a Prados del Naranjo, un conjunto cerrado con una ubicación privilegiada en el norte de Cali! Este proyecto consta de 192 apartamentos distribuidos en 2 torres de 12 pisos, ofreciendo una amplia gama de comodidades para disfrutar en familia. Cada apartamento, de 2 habitaciones y áreas desde 70 m², incluye un parqueadero y acceso a zonas comunes pensadas para el entretenimiento de grandes y pequeños. Destacándose por su pronta entrega en la Torre A y un plazo de 9 meses para la cuota inicial en la Torre B, con una separación accesible de $8.000.000. La ubicación estratégica permite un fácil acceso a vías importantes como la Av. Sexta, la Carrera 3ª y la Carrera 1ª, corredores viales con una variada oferta de comercio y servicios, brindando proximidad a centros comerciales, restaurantes y clínicas. Las zonas comunes están diseñadas para el disfrute integral, ofreciendo espacios como piscina, salón social, cancha múltiple y una vigilancia las 24 horas para brindar seguridad a los residentes. Prados del Naranjo es más que un lugar para vivir, es un hogar que te ofrece comodidad, accesibilidad y la oportunidad de disfrutar de una vida plena en el vibrante norte de Cali. ¡Convierte este proyecto en tu próximo hogar y disfruta de una vida llena de comodidades y facilidades!","{""Área construida"":""67 m²"",""Área privada"":""67 m²"",""Tipo de inmueble"":""Apartamento"",""Hab/Amb"":""2 Hab"",""Baños"":""2 Baños"",""Precio"":""$ 351.200.000""}",,[67],[],"{""sku"":""5451766""}","[""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2020/5/13/2612090_834_2.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2020/5/13/2612090_503_8.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2020/5/13/2612090_480_7.jpg""]",[],[],
672c12fa456da97276bdb6fc,El ÁLAMO,CUSEZAR,"$176,000,000.00","El Álamo es un proyecto de Vivienda de Interés Social VIS multifamiliar ubicado al Sur de Cali, que forma parte del importante desarrollo urbanístico llamado Bosque del Valle. Destacándose por su diseño arquitectónico y su oferta de zonas de entretenimiento para garantizar la calidad de vida de los propietarios. El precio de venta del inmueble se establece en 135 Salarios Mínimos Mensuales Legales Vigentes, los cuales serán calculados con ajuste al año de escrituración.","{""Área construida"":""50.7 m²"",""Área privada"":""44.89 m²"",""Tipo de inmueble"":""Apartamento"",""Hab/Amb"":""2 Hab"",""Baños"":""1 Baño"",""Precio"":""$ 176.000.000""}",,"[""2 Habs.""]",[],"{""sku"":""7058310""}","[""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/2/17/3551317_626_0.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/2/17/3551317_907_1.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/2/17/3551317_252_2.jpg""]",[],[],
672c12fa456da97276bdb6fd,GIRASOLES DEL CASTILLO,CONSTRUCTORA EL CASTILLO S.A.S,"$375,300,000.00","CASAS CAMPESTRES DE DOS PISOS, ENCUÉNTRALAS TOMANDO LA VÍA PANAMERICANA, HACIENDO EL RETORNO EN EL SUR DE CALI. GIRASOLES DEL CASTILLO (DOS PISOS) DESDE: $375.300.000 Y DESDE 84.62 M2 NO APLICA SUBSIDIOS. SI TUS INGRESOS FAMILIARES SON MAYORES A $10.000.000, PUEDES ACCEDER A NUESTRO PROYECTO GIRASOLES DEL CASTILLO. ¡VIVE EN UNA CIUDADELA EXCLUSIVA, LEJOS DEL RUIDO DE LA CIUDAD! Girasoles del Castillo, el lugar ideal para comenzar a construir tus sueños en familia. Aquí, encontrarás casas campestres de 2 pisos que tienen todo lo que necesitas para una vida plena. En el primer piso, te espera una cocina abierta que se convierte en el corazón de tu hogar, un lugar donde junto a tu pareja podrás disfrutar de las mejores comidas y vivir momentos especiales en familia. El jardín interior brinda a tu casa iluminación y ventilación natural, permitiéndote disfrutar de la belleza del entorno sin tener que salir de casa. En el segundo piso, tus alcobas se encuentran en total privacidad, separadas de la zona social de tu hogar. La alcoba principal cuenta con su propio baño y vestier, ofreciéndote un refugio de lujo y comodidad. Además, dos alcobas adicionales comparten un baño, lo que las convierte en espacios acogedores para tus seres queridos. La ubicación de Girasoles del Castillo es excelente, especialmente para aquellos que buscan un entorno tranquilo y seguro donde iniciar su proyecto de vida. Aquí, podrás respirar aire fresco y vivir en armonía con la naturaleza.","{""Área construida"":""84.62 m²"",""Área privada"":""84.62 m²"",""Tipo de inmueble"":""Casa"",""Hab/Amb"":""2 Hab"",""Baños"":""2 Baños"",""Precio"":""$ 375.300.000""}",,"[""2 Habs."",""2 Baños"",""84.62 m²""]",[],"{""sku"":""5814689""}","[""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/3/24/2804892_11_10.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/3/24/2804892_823_13.jpg"",""https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/3/24/2804892_969_18.jpg""]",[],[],
