Inmueble,Precio,Área total,Habitaciones,Baños,Estrato,Ubicación
Apartamento,950.000.000,152 m² cubiertos,2 habitaciones,2 baños,5,"Santa Teresita, Cali, Valle Del Cauca"
Apartamento,850.000.000,130 m² cubiertos,3 habitaciones,3 baños,6,"Cali, Valle Del Cauca"
Apartamento,205.000.000,60 m² cubiertos,3 habitaciones,2 baños,,"Bochalema, Cali, Valle Del Cauca"
Apartamento,350.000.000,112 m² cubiertos,4 habitaciones,2 baños,4,"Santa Anita, Cali, Valle Del Cauca"
Apartamento,1.040.000.000,128 m² cubiertos,3 habitaciones,3 baños,6,"Cra 29B # 12-35 1204, Ciudad Jardín, Cali, Valle Del Cauca"
Apartamento,395.000.000,160 m² cubiertos,4 habitaciones,4 baños,4,"Las Vegas, Las Vegas, Cali, Valle Del Cauca"
Apartamento,410.000.000,109 m² cubiertos,4 habitaciones,3 baños,4,"LA HACIENDA, La Hacienda, Cali, Valle Del Cauca"
Apartamento,420.000.000,94 m² cubiertos,3 habitaciones,2 baños,4,"LA HACIENDA, Cañaverales, Cali, Valle Del Cauca, Colombia, La Hacienda, Cali, Valle Del Cauca"
Apartamento,254.000.000,65 m² cubiertos,3 habitaciones,2 baños,,"Calle 58 #98, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,225.000.000,53 m² cubiertos,2 habitaciones,2 baños,,"Calle 60A #119C-84, Bochalema, Cali, Valle Del Cauca"
Apartamento,219.000.000,62 m² cubiertos,3 habitaciones,2 baños,2,"Conjunto Residencial Los Mandarinos, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,750.000.000,91 m² cubiertos,3 habitaciones,2 baños,,"Ciudad Jardín, Ciudad Jardín, Cali, Valle Del Cauca"
Apartamento,530.000.000,142 m² cubiertos,4 habitaciones,4 baños,,"Bellavista, Cali, Valle Del Cauca"
Apartamento,670.000.000,110 m² cubiertos,3 habitaciones,2 baños,4,"Calle 3 Oeste #56, Guadalupe, Cali, Valle Del Cauca"
Apartamento,310.000.000,88 m² cubiertos,3 habitaciones,2 baños,,"Zona Sur, Bochalema, Cali, Valle Del Cauca"
Apartamento,700.000.000,144 m² cubiertos,3 habitaciones,4 baños,6,"Zona Oeste, Los Cristales, Cali, Valle Del Cauca"
Apartamento,315.000.000,75 m² cubiertos,3 habitaciones,2 baños,5,"Nueva Granada, Urbanización Nueva Granada, Cali, Valle Del Cauca"
Apartamento,400.000.000,100 m² cubiertos,3 habitaciones,2 baños,5,"Zona Sur, Cuarto De Legua, Cali, Valle Del Cauca"
Apartamento,700.000.000,163 m² cubiertos,3 habitaciones,3 baños,6,"Zona Sur, Ciudad Jardin, Cali, Valle Del Cauca"
Apartamento,180.000.000,80 m² cubiertos,3 habitaciones,2 baños,3,"Calle 30 #120-78, Fátima, Cali, Valle Del Cauca"
Apartamento,290.000.000,70 m² cubiertos,2 habitaciones,2 baños,4,"Kr 55B Entre Cl 3 Y 1A, Cuarto De Legua - Guadalupe, Cali, Valle Del Cauca"
Apartamento,230.000.000,62 m² cubiertos,3 habitaciones,2 baños,4,"El Refugio, Cali, Valle Del Cauca"
Apartamento,205.000.000,33 m² cubiertos,1 habitación,1 baño,5,"Urbanización La Flora, Cali, Valle Del Cauca"
Apartamento,1.800.000.000,228 m² cubiertos,3 habitaciones,4 baños,6,"Santa Rita, Cali, Valle Del Cauca"
Apartamento,622.000.000,247 m² cubiertos,4 habitaciones,4 baños,,"Normandía, Cali, Valle Del Cauca"
Apartamento,225.000.000,56 m² cubiertos,2 habitaciones,2 baños,4,"Cali, Valle Del Cauca"
Apartamento,170.000.000,65 m² cubiertos,3 habitaciones,1 baño,3,"El Guabal, Cali, Valle Del Cauca"
Apartamento,760.000.000,151 m² cubiertos,3 habitaciones,2 baños,,"Calle 12a Oeste, Bellavista, Cali, Valle Del Cauca"
Apartamento,185.000.000,62 m² cubiertos,3 habitaciones,2 baños,3,"Cl. 62 #1b-90, Comuna 5, Cali, Valle Del Cauca, Colombia, Los Parques - Barranquilla, Cali, Valle Del Cauca"
Apartamento,167.000.000,48 m² cubiertos,2 habitaciones,2 baños,4,"Calle 49 #121A-35, Bochalema, Cali, Valle Del Cauca"
Apartamento,570.000.000,110 m² cubiertos,3 habitaciones,2 baños,6,"Normandía, Cali, Valle Del Cauca"
Apartamento,650.000.000,230 m² cubiertos,4 habitaciones,4 baños,5,"El Peñon, Cali, Valle Del Cauca"
Apartamento,189.000.000,61 m² cubiertos,3 habitaciones,2 baños,,"Sur, Comuna 17, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,535.000.000,199 m² cubiertos,3 habitaciones,3 baños,,"Granada, Cali, Valle Del Cauca"
Apartamento,210.000.000,60 m² cubiertos,2 habitaciones,2 baños,3,"Cl 47A #67a41, Bochalema, Cali, Valle Del Cauca"
Apartamento,570.000.000,165 m² cubiertos,3 habitaciones,3 baños,,"Santa Teresita, Cali, Valle Del Cauca"
Apartamento,750.000.000,125 m² cubiertos,3 habitaciones,4 baños,,"0 SN, Pance, Cali, Valle Del Cauca"
Apartamento,500.000.000,89 m² cubiertos,2 habitaciones,3 baños,4,"0 SN, Bochalema, Cali, Valle Del Cauca"
Apartamento,485.000.000,107 m² cubiertos,3 habitaciones,3 baños,,"Calle 20 #101A-67, Ciudad Jardín, Cali, Valle Del Cauca"
Apartamento,250.000.000,63 m² cubiertos,3 habitaciones,2 baños,4,"Zona Sur, Bochalema, Cali, Valle Del Cauca"
Apartamento,395.000.000,88 m² cubiertos,3 habitaciones,3 baños,4,"28 SN, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,215.000.000,80 m² cubiertos,3 habitaciones,2 baños,,"Zona Sur, Buenos Aires, Cali, Valle Del Cauca"
Apartamento,230.000.000,128 m² cubiertos,3 habitaciones,3 baños,,"Zona Sur, El Limonar, Cali, Valle Del Cauca"
Apartamento,185.000.000,50 m² cubiertos,2 habitaciones,2 baños,4,"Zona Norte, Vipasa, Cali, Valle Del Cauca"
Apartamento,195.000.000,59 m² cubiertos,2 habitaciones,2 baños,,"Kachipai, Cali, Valle Del Cauca"
Apartamento,195.600.502,65 m² cubiertos,2 habitaciones,2 baños,,"Cra. 121 A #47A-46, Bochalema, Cali, Valle Del Cauca"
Apartamento,152.000.000,55 m² cubiertos,3 habitaciones,2 baños,4,"Cra 99 #2-140, Meléndez, Cali, Valle Del Cauca"
Apartamento,192.000.000,58 m² cubiertos,3 habitaciones,2 baños,4,"Cra. 83b #42-60, Caney, Cali, Valle Del Cauca"
Apartamento,172.000.000,48 m² cubiertos,2 habitaciones,1 baño,4,"Cra. 121 A #47-108, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,155.000.000,55 m² cubiertos,2 habitaciones,2 baños,3,"Cali, Valle Del Cauca"
Apartamento,200.500.000,60 m² cubiertos,3 habitaciones,2 baños,4,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,760.000.000,90 m² cubiertos,3 habitaciones,5 baños,,"Pance, Cali, Valle Del Cauca"
Apartamento,300.000.000,73 m² cubiertos,3 habitaciones,2 baños,,"El Gran Limonar, Cali, Valle Del Cauca"
Apartamento,368.000.000,86 m² cubiertos,3 habitaciones,3 baños,,"Calle 11 #87-31, Unicentro Cali, Cali, Valle Del Cauca"
Apartamento,255.000.000,100 m² cubiertos,4 habitaciones,3 baños,3,"Prados Del Norte, Cali, Valle Del Cauca"
Apartamento,260.000.000,69 m² cubiertos,2 habitaciones,2 baños,4,"Carrera 119 #60a112, Bochalema, Cali, Valle Del Cauca"
Apartamento,257.000.000,65 m² cubiertos,3 habitaciones,2 baños,4,"Carrera 97 Bis #58-50, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,390.000.000,84 m² cubiertos,3 habitaciones,2 baños,4,"Carrera 99b #48-22, Ciudad Real, Cali, Valle Del Cauca"
Apartamento,186.000.000,61 m² cubiertos,3 habitaciones,2 baños,4,"Porteria 2, Ciudad Los Alamos, Cali, Valle Del Cauca"
Apartamento,179.395.592,56 m² cubiertos,3 habitaciones,2 baños,4,"Carrera 101a #42-45, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,201.000.000,54 m² cubiertos,2 habitaciones,2 baños,,"Carrera 121 A #42-16, Bochalema, Cali, Valle Del Cauca"
Apartamento,192.000.000,57 m² cubiertos,3 habitaciones,2 baños,4,"Cra. 101a #42-45, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,200.000.000,58 m² cubiertos,3 habitaciones,2 baños,,"Cl. 3 #69-59, Caldas, Cali, Valle Del Cauca"
Apartamento,218.000.000,61 m² cubiertos,3 habitaciones,2 baños,4,"Carrera 119A #60-56, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,306.832.660,71 m² cubiertos,3 habitaciones,2 baños,5,"Cra. 61 #26 - 54, La Alborada, Cali, Valle Del Cauca"
Apartamento,154.500.000,50 m² cubiertos,2 habitaciones,2 baños,3,"Carrera 85C2 #54a-28, Bochalema, Cali, Valle Del Cauca"
Apartamento,225.000.000,56 m² cubiertos,2 habitaciones,2 baños,3,"Cra. 61 #26 - 54, La Alborada, Cali, Valle Del Cauca"
Apartamento,218.000.000,61 m² cubiertos,3 habitaciones,2 baños,4,"Carrera 119A #60-56, Bochalema, Cali, Valle Del Cauca"
Apartamento,201.751.135,60 m² cubiertos,3 habitaciones,2 baños,4,"Calle 2b #65-130, La Cascada, Cali, Valle Del Cauca"
Apartamento,201.751.135,60 m² cubiertos,3 habitaciones,2 baños,,"Calle 2b #65-130, La Cascada, Cali, Valle Del Cauca"
Apartamento,265.500.000,65 m² cubiertos,3 habitaciones,2 baños,4,"Calle 59, Paseo De Los Almendros, Cali, Valle Del Cauca"
Apartamento,164.220.000,49 m² cubiertos,2 habitaciones,2 baños,3,"Cl. 15 #48-30, Acopi, Cali, Valle Del Cauca"
Apartamento,323.098.592,67 m² cubiertos,3 habitaciones,2 baños,4,"Carrera 92 #45-160, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,167.000.000,48 m² cubiertos,2 habitaciones,2 baños,4,"Calle 49 #121A-35, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,196.000.000,65 m² cubiertos,2 habitaciones,2 baños,,"Carrera 121 A #47A-46, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,196.000.000,65 m² cubiertos,2 habitaciones,2 baños,,"Carrera 121 A #47A-46, Bochalema, Cali, Valle Del Cauca"
Apartamento,167.000.000,48 m² cubiertos,2 habitaciones,2 baños,4,"Cl. 49 #121A-35, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,218.000.000,61 m² cubiertos,3 habitaciones,2 baños,4,"Carrera 119A #60-56, Bochalema, Cali, Valle Del Cauca"
Apartamento,238.000.000,63 m² cubiertos,2 habitaciones,3 baños,4,"Bochalema, Cali, Valle Del Cauca"
Apartamento,390.000.000,84 m² cubiertos,3 habitaciones,2 baños,4,"Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,164.220.000,49 m² cubiertos,2 habitaciones,2 baños,3,"Las Granjas, Cali, Valle Del Cauca"
Apartamento,238.000.000,63 m² cubiertos,3 habitaciones,2 baños,4,"Calle 46 #112 - 51, Bochalema, Cali, Valle Del Cauca"
Apartamento,231.751.540,57 m² cubiertos,2 habitaciones,2 baños,5,"Cl 54 #94-24, Valle Del Lili, Cali, Valle Del Cauca"
Apartamento,231.000.000,61 m² cubiertos,3 habitaciones,2 baños,4,"Ciudad Melendez, Cali, Valle Del Cauca"
