Inmueble,Precio,Área total,Habitaciones,Baños,Estrato,Ubicación
Casa,250.000.000,52 m² cubiertos,3 habitaciones,2 baños,2,"Ciudad Cordoba, Ciudad Córdoba, Cali, Valle Del Cauca"
Casa,474.000.000,280 m² cubiertos,6 habitaciones,4 baños,,"Salomia, Cali, Valle Del Cauca"
Casa,249.000.000,120 m² cubiertos,4 habitaciones,2 baños,3,"Cl. 5 Oe. #53-36, Belisario Caicedo, Cali, Valle Del Cauca"
Casa,950.000.000,290 m² cubiertos,5 habitaciones,5 baños,5,"San Fernando, San Fernando, Cali, Valle Del Cauca"
Casa,850.000.000,320 m² cubiertos,6 habitaciones,7 baños,,"Cra. 70 #18-75, La Hacienda, Cali, Valle Del Cauca"
Casa,550.000.000,270 m² cubiertos,5 habitaciones,5 baños,4,"Ciudad 2000, Ciudad 2000, Cali, Valle Del Cauca"
Casa,545.000.000,400 m² cubiertos,5 habitaciones,4 baños,,"Tequendama, Nueva Tequendama, Cali, Valle Del Cauca"
Casa,2.500.000.000,570 m² cubiertos,3 habitaciones,5 baños,6,"Santa Teresita, Cali, Valle Del Cauca"
Casa,1.100.000.000,225 m² cubiertos,4 habitaciones,2 baños,5,"Sur San Fernando, Cali, Valle Del Cauca"
Casa,339.000.000,144 m² cubiertos,3 habitaciones,3 baños,3,"4 11-33, Torres De Comfandi, Cali, Valle Del Cauca"
Casa,1.300.000.000,253 m² cubiertos,4 habitaciones,4 baños,6,"Pance, Cali, Valle Del Cauca"
Casa,3.200.000.000,1.578 m² cubiertos,4 habitaciones,5 baños,6,"Pance, Cali, Valle Del Cauca"
Casa,2.500.000.000,400 m² cubiertos,6 habitaciones,7 baños,,"0 SN, Ciudad Jardín, Cali, Valle Del Cauca"
Casa,750.000.000,1.180 m² cubiertos,6 habitaciones,5 baños,,"Pance, Cali, Valle Del Cauca"
Casa,275.000.000,270 m² cubiertos,9 habitaciones,7 baños,1,"Alirio Mora, Cali, Valle Del Cauca"
Casa,1.350.000.000,360 m² cubiertos,3 habitaciones,4 baños,6,"Pance, Cali, Valle Del Cauca"
Casa,3.000.000.000,630 m² cubiertos,4 habitaciones,5 baños,6,"0 SN, Pance, Cali, Valle Del Cauca"
Casa,530.000.000,510 m² cubiertos,9 habitaciones,4 baños,3,"Junín, Cali, Valle Del Cauca"
Casa,720.000.000,160 m² cubiertos,3 habitaciones,5 baños,5,"Zona Sur, Ciudad Jardin, Cali, Valle Del Cauca"
Casa,345.000.000,91 m² cubiertos,3 habitaciones,3 baños,4,"Ciudad Country, Cali, Valle Del Cauca"
Casa,178.000.000,150 m² cubiertos,5 habitaciones,2 baños,3,"Cali, Valle Del Cauca"
Casa,900.000.000,600 m² cubiertos,7 habitaciones,7 baños,4,"Cali, Valle Del Cauca"
Casa,800.000.000,280 m² cubiertos,4 habitaciones,3 baños,,"Prados Del Limonar, Cali, Valle Del Cauca"
Casa,2.250.000.000,850 m² cubiertos,4 habitaciones,9 baños,,"La Trinidad, Cali, Valle Del Cauca"
Casa,1.050.000.000,350 m² cubiertos,4 habitaciones,4 baños,6,"Pance, Cali, Valle Del Cauca"
Casa,570.000.000,161 m² cubiertos,3 habitaciones,7 baños,4,"San Vicente, Cali, Valle Del Cauca"
Casa,2.200.000.000,460 m² cubiertos,3 habitaciones,3 baños,6,"Ciudad Jardín, Cali, Valle Del Cauca"
